order_id,item_id,quantity,item_price,cuisine_type
1,1,1,182.23,North Indian
2,2,1,95.5,South Indian
2,3,3,181.53,Street Food
3,4,2,188.9,Biryani
3,5,3,166.15,Biryani
3,6,1,113.91,Street Food
4,7,2,240.9,Biryani
4,8,2,161.21,North Indian
5,9,3,125.69,Biryani
5,10,3,194.41,North Indian
5,11,2,198.66,South Indian
6,12,2,147.25,Chinese
6,13,2,283.01,Chinese
6,14,3,131.21,South Indian
7,15,3,224.55,Pizza
8,16,3,295.14,Cafe
8,17,3,268.11,North Indian
8,18,2,236.03,Pizza
9,19,3,82.54,Cafe
10,20,3,87.14,Pizza
10,21,1,136.04,Pizza
11,22,2,91.49,Biryani
12,23,3,187.75,North Indian
13,24,3,177.33,South Indian
14,25,1,126.22,South Indian
14,26,1,170.84,South Indian
15,27,3,97.39,North Indian
15,28,2,84.98,Cafe
15,29,3,162.42,Biryani
15,30,2,281.78,Chinese
16,31,3,288.06,South Indian
16,32,3,112.94,Street Food
17,33,2,232.9,Chinese
17,34,3,153.38,Pizza
17,35,1,101.14,Pizza
17,36,3,244.6,Pizza
18,37,1,263.42,Biryani
18,38,3,282.1,Biryani
19,39,1,204.02,Street Food
19,40,3,144.87,Street Food
20,41,2,159.17,North Indian
20,42,2,214.52,Cafe
20,43,1,299.71,Pizza
20,44,1,97.78,Street Food
21,45,1,290.75,Biryani
21,46,2,140.82,Street Food
22,47,3,272.23,Cafe
22,48,3,176.67,Cafe
22,49,2,195.8,Cafe
23,50,1,232.52,Cafe
24,51,3,148.7,Cafe
24,52,1,239.66,Biryani
25,53,2,89.6,Cafe
25,54,1,99.64,Street Food
26,55,2,178.68,Pizza
26,56,1,160.37,South Indian
26,57,3,89.84,Biryani
27,58,3,103.04,Chinese
27,59,1,214.8,Biryani
27,60,3,171.24,Pizza
27,61,3,247.35,Cafe
28,62,3,211.15,North Indian
28,63,3,191.05,Pizza
29,64,1,115.77,Biryani
29,65,1,245.89,Chinese
29,66,3,299.77,Cafe
29,67,1,94.32,Chinese
