order_id,customer_id,restaurant_id,city,order_ts,promised_delivery_ts,status,order_value,payment_mode
1,2686,89,,2026-01-26 13:56:00,2026-01-26 14:34:00,CANCELLED,217.99,UPI
2,4973,99,,2026-01-26 14:50:00,2026-01-26 15:32:00,CANCELLED,354.44,COD
3,3123,47,,2026-01-26 22:04:00,2026-01-26 22:29:00,CANCELLED,450.28,CARD
4,4607,90,,2026-01-26 20:58:00,2026-01-26 21:24:00,CANCELLED,235.16,COD
5,2671,12,,2026-01-26 18:45:00,2026-01-26 19:29:00,COMPLETED,351.99,COD
6,2195,66,,2026-01-26 09:56:00,2026-01-26 10:35:00,CANCELLED,250.08,COD
7,3455,66,,2026-01-26 16:14:00,2026-01-26 16:54:00,COMPLETED,244.02,COD
8,2158,93,,2026-01-26 12:42:00,2026-01-26 13:20:00,CANCELLED,480.03,UPI
9,4124,70,,2026-01-26 17:53:00,2026-01-26 18:33:00,CANCELLED,464.82,COD
10,2682,6,,2026-01-26 13:29:00,2026-01-26 14:00:00,CANCELLED,398.93,CARD
11,1623,64,,2026-01-26 20:02:00,2026-01-26 20:39:00,COMPLETED,665.06,UPI
12,2871,2,,2026-01-26 18:04:00,2026-01-26 18:39:00,COMPLETED,436.2,COD
13,3837,51,,2026-01-26 19:10:00,2026-01-26 19:39:00,COMPLETED,779.98,COD
14,2998,112,,2026-01-26 22:32:00,2026-01-26 23:14:00,COMPLETED,557.42,UPI
15,2777,13,,2026-01-26 12:00:00,2026-01-26 12:45:00,COMPLETED,798.33,CARD
16,2535,56,,2026-01-26 19:50:00,2026-01-26 20:24:00,COMPLETED,667.49,COD
17,4566,49,,2026-01-26 15:01:00,2026-01-26 15:44:00,COMPLETED,260.49,CARD
18,1038,116,,2026-01-26 17:57:00,2026-01-26 18:26:00,CANCELLED,315.09,COD
19,2225,82,,2026-01-26 19:33:00,2026-01-26 20:15:00,CANCELLED,764.4,COD
20,2562,74,,2026-01-26 15:47:00,2026-01-26 16:21:00,CANCELLED,704.67,COD
21,3318,111,,2026-01-26 19:56:00,2026-01-26 20:30:00,COMPLETED,577.85,COD
22,1897,82,,2026-01-26 20:43:00,2026-01-26 21:23:00,COMPLETED,299.58,UPI
23,4230,57,,2026-01-26 19:34:00,2026-01-26 20:03:00,COMPLETED,557.85,CARD
24,1822,17,,2026-01-26 20:29:00,2026-01-26 20:58:00,CANCELLED,362.37,COD
25,2208,96,,2026-01-26 12:39:00,2026-01-26 13:09:00,CANCELLED,763.72,UPI
26,3762,51,,2026-01-26 15:59:00,2026-01-26 16:26:00,CANCELLED,296.65,COD
27,3753,34,,2026-01-26 14:44:00,2026-01-26 15:09:00,CANCELLED,445.61,UPI
28,3299,42,,2026-01-26 14:20:00,2026-01-26 14:48:00,COMPLETED,166.27,CARD
29,4875,5,,2026-01-26 18:50:00,2026-01-26 19:29:00,CANCELLED,415.39,CARD
30,3746,96,,2026-01-26 09:58:00,2026-01-26 10:26:00,CANCELLED,238.18,COD
31,4846,36,,2026-01-26 20:24:00,2026-01-26 20:53:00,COMPLETED,691.9,UPI
32,3808,48,,2026-01-26 11:42:00,2026-01-26 12:21:00,CANCELLED,706.04,UPI
33,1868,83,,2026-01-26 12:42:00,2026-01-26 13:13:00,COMPLETED,685.72,COD
34,3270,27,,2026-01-26 13:41:00,2026-01-26 14:13:00,COMPLETED,283.38,COD
35,1592,17,,2026-01-26 11:58:00,2026-01-26 12:33:00,CANCELLED,537.39,COD
36,2326,3,,2026-01-26 09:52:00,2026-01-26 10:17:00,COMPLETED,663.49,
37,2482,66,,2026-01-26 10:09:00,2026-01-26 10:47:00,COMPLETED,191.31,CARD
38,2235,59,,2026-01-26 11:46:00,2026-01-26 12:30:00,COMPLETED,740.69,COD
39,1301,116,,2026-01-26 16:10:00,2026-01-26 16:47:00,COMPLETED,468.67,UPI
40,2331,49,,2026-01-26 10:31:00,2026-01-26 10:58:00,CANCELLED,561.5,COD
41,4595,99,,2026-01-26 18:19:00,2026-01-26 18:57:00,COMPLETED,224.37,COD
42,2280,55,,2026-01-26 11:53:00,2026-01-26 12:31:00,CANCELLED,409.17,UPI
43,1381,56,,2026-01-26 14:23:00,2026-01-26 14:52:00,COMPLETED,193.64,CARD
44,3744,16,,2026-01-26 14:21:00,2026-01-26 14:50:00,CANCELLED,771.81,CARD
45,1424,74,,2026-01-26 19:21:00,2026-01-26 19:59:00,COMPLETED,336.96,CARD
46,2141,74,,2026-01-26 16:13:00,2026-01-26 16:45:00,COMPLETED,511.57,COD
47,4805,85,,2026-01-26 22:25:00,2026-01-26 23:07:00,CANCELLED,567.75,CARD
48,3692,52,,2026-01-26 12:39:00,2026-01-26 13:13:00,COMPLETED,267.91,UPI
49,2396,21,,2026-01-26 18:48:00,2026-01-26 19:13:00,CANCELLED,289.84,COD
50,3530,7,,2026-01-26 13:32:00,2026-01-26 14:15:00,COMPLETED,184.2,CARD
51,3098,15,,2026-01-26 19:17:00,2026-01-26 19:55:00,CANCELLED,419.22,UPI
52,3454,8,,2026-01-26 12:50:00,2026-01-26 13:33:00,COMPLETED,350.47,UPI
53,2763,23,,2026-01-26 11:36:00,2026-01-26 12:05:00,COMPLETED,227.99,UPI
54,2626,111,,2026-01-26 20:00:00,2026-01-26 20:32:00,COMPLETED,584.23,CARD
55,2710,38,,2026-01-26 15:50:00,2026-01-26 16:17:00,COMPLETED,522.71,UPI
56,2788,109,,2026-01-26 13:32:00,2026-01-26 14:02:00,COMPLETED,598.25,CARD
57,1907,43,,2026-01-26 18:03:00,2026-01-26 18:40:00,COMPLETED,715.84,CARD
58,3979,105,,2026-01-26 18:48:00,2026-01-26 19:16:00,COMPLETED,738.85,CARD
59,1308,23,,2026-01-26 10:29:00,2026-01-26 11:02:00,CANCELLED,249.37,COD
60,3558,42,,2026-01-26 17:37:00,2026-01-26 18:20:00,CANCELLED,723.33,UPI
61,2441,65,,2026-01-26 09:09:00,2026-01-26 09:49:00,COMPLETED,667.61,UPI
62,4503,12,,2026-01-26 15:42:00,2026-01-26 16:08:00,CANCELLED,336.6,COD
63,3478,61,,2026-01-26 17:27:00,2026-01-26 17:53:00,COMPLETED,521.58,UPI
64,1160,32,,2026-01-26 15:41:00,2026-01-26 16:09:00,CANCELLED,204.81,UPI
65,2674,100,,2026-01-26 16:56:00,2026-01-26 17:37:00,CANCELLED,392.35,CARD
66,2583,37,,2026-01-26 08:53:00,2026-01-26 09:38:00,CANCELLED,364.3,CARD
67,2432,40,,2026-01-26 19:12:00,2026-01-26 19:56:00,CANCELLED,528.78,COD
68,1523,86,,2026-01-26 20:05:00,2026-01-26 20:32:00,COMPLETED,568.27,UPI
69,2399,99,,2026-01-26 15:13:00,2026-01-26 15:54:00,CANCELLED,350.76,
70,3210,107,,2026-01-26 10:20:00,2026-01-26 10:49:00,COMPLETED,662.28,COD
