refund_id,order_id,refund_ts,refund_reason,refund_amount
1,2,2026-01-23 11:34:00,DELAY,80.45
2,6,2026-01-23 23:29:00,DELAY,68.6
3,9,2026-01-23 10:41:00,CUSTOMER_CANCEL,633.27
4,14,2026-01-23 13:14:00,MISSING_ITEM,255.56
5,18,2026-01-23 18:58:00,MISSING_ITEM,260.97
6,31,2026-01-23 10:43:00,DELAY,447.9
7,42,2026-01-23 14:15:00,DELAY,168.89
8,52,2026-01-24 00:13:00,DELAY,339.26
9,71,2026-01-23 16:18:00,DELAY,663.25
10,75,2026-01-23 18:56:00,MISSING_ITEM,295.14
11,79,2026-01-23 20:40:00,CUSTOMER_CANCEL,449.41
12,85,2026-01-23 12:47:00,DELAY,731.67
13,87,2026-01-23 20:23:00,CUSTOMER_CANCEL,651.93
14,94,2026-01-23 21:54:00,DELAY,295.36
15,99,2026-01-23 09:27:00,MISSING_ITEM,256.81
16,103,2026-01-23 14:30:00,DELAY,616.43
17,116,2026-01-23 12:43:00,DELAY,128.0
18,120,2026-01-23 15:49:00,DELAY,210.62
19,122,2026-01-23 14:17:00,MISSING_ITEM,306.28
20,124,2026-01-23 18:56:00,MISSING_ITEM,370.12
21,127,2026-01-23 21:23:00,MISSING_ITEM,286.69
22,132,2026-01-23 18:04:00,DELAY,282.2
23,143,2026-01-23 22:28:00,DELAY,464.35
24,150,2026-01-23 20:54:00,MISSING_ITEM,85.12
25,165,2026-01-23 16:28:00,CUSTOMER_CANCEL,458.78
26,168,2026-01-23 10:59:00,DELAY,152.54
27,171,2026-01-23 12:37:00,DELAY,389.87
28,185,2026-01-23 23:21:00,CUSTOMER_CANCEL,570.13
29,187,2026-01-23 15:48:00,DELAY,210.56
30,198,2026-01-23 20:53:00,DELAY,629.82
31,200,2026-01-23 14:45:00,CUSTOMER_CANCEL,304.74
32,211,2026-01-24 12:25:00,DELAY,378.24
33,212,2026-01-24 16:16:00,MISSING_ITEM,313.6
34,217,2026-01-24 22:06:00,MISSING_ITEM,531.52
35,219,2026-01-24 13:01:00,MISSING_ITEM,73.98
36,226,2026-01-24 13:05:00,CUSTOMER_CANCEL,320.88
37,233,2026-01-24 23:50:00,MISSING_ITEM,367.5
38,239,2026-01-24 22:03:00,DELAY,273.52
39,249,2026-01-24 22:02:00,CUSTOMER_CANCEL,95.76
40,254,2026-01-24 12:10:00,MISSING_ITEM,99.37
41,255,2026-01-24 11:57:00,MISSING_ITEM,367.77
42,258,2026-01-24 12:44:00,CUSTOMER_CANCEL,163.7
43,271,2026-01-24 16:19:00,CUSTOMER_CANCEL,455.52
44,275,2026-01-24 20:50:00,MISSING_ITEM,233.06
45,281,2026-01-24 20:43:00,CUSTOMER_CANCEL,170.85
46,294,2026-01-24 22:04:00,DELAY,436.1
47,296,2026-01-24 23:20:00,MISSING_ITEM,81.37
48,305,2026-01-24 13:48:00,DELAY,615.87
49,313,2026-01-24 11:50:00,CUSTOMER_CANCEL,652.27
50,338,2026-01-25 12:04:00,CUSTOMER_CANCEL,247.53
51,344,2026-01-25 14:35:00,CUSTOMER_CANCEL,156.91
52,346,2026-01-25 18:19:00,MISSING_ITEM,326.18
53,369,2026-01-25 18:37:00,MISSING_ITEM,126.2
54,382,2026-01-25 14:29:00,DELAY,82.0
55,388,2026-01-25 23:33:00,MISSING_ITEM,210.59
56,397,2026-01-26 00:21:00,DELAY,498.67
57,414,2026-01-25 13:49:00,MISSING_ITEM,161.74
58,415,2026-01-25 21:04:00,MISSING_ITEM,236.08
59,417,2026-01-25 10:21:00,MISSING_ITEM,141.0
60,431,2026-01-25 16:14:00,MISSING_ITEM,312.46
61,453,2026-01-25 17:23:00,CUSTOMER_CANCEL,310.54
62,482,2026-01-25 17:11:00,CUSTOMER_CANCEL,655.31
63,487,2026-01-25 16:23:00,MISSING_ITEM,305.58
64,493,2026-01-25 23:43:00,DELAY,181.28
65,499,2026-01-26 16:30:00,MISSING_ITEM,180.57
66,518,2026-01-26 19:41:00,CUSTOMER_CANCEL,276.39
67,536,2026-01-26 13:32:00,CUSTOMER_CANCEL,639.55
68,540,2026-01-27 00:55:00,MISSING_ITEM,286.5
69,543,2026-01-26 22:01:00,CUSTOMER_CANCEL,228.68
70,546,2026-01-26 12:48:00,CUSTOMER_CANCEL,612.39
71,561,2026-01-26 09:43:00,CUSTOMER_CANCEL,358.88
72,566,2026-01-26 16:03:00,MISSING_ITEM,172.62
73,567,2026-01-26 17:32:00,DELAY,507.04
74,581,2026-01-26 16:26:00,MISSING_ITEM,286.62
75,584,2026-01-26 23:03:00,DELAY,145.03
76,594,2026-01-26 10:43:00,CUSTOMER_CANCEL,240.67
77,596,2026-01-26 20:06:00,MISSING_ITEM,124.39
78,600,2026-01-26 09:59:00,CUSTOMER_CANCEL,247.96
79,603,2026-01-26 17:33:00,MISSING_ITEM,249.3
80,613,2026-01-26 19:33:00,MISSING_ITEM,524.82
81,619,2026-01-26 22:35:00,MISSING_ITEM,730.39
82,642,2026-01-27 15:34:00,CUSTOMER_CANCEL,173.23
