restaurant_id,city,cuisine_type,rating_band,onboarding_date
1,Rajkot,North Indian,HIGH,2024-05-12
2,Pune,South Indian,LOW,2025-05-20
3,Rajkot,Street Food,HIGH,2024-02-02
4,Rajkot,Biryani,MEDIUM,2024-08-16
5,Rajkot,North Indian,LOW,2026-01-24
6,Surat,Biryani,LOW,2025-07-02
7,Pune,Street Food,HIGH,2024-07-31
8,Surat,Pizza,LOW,2024-03-09
9,Surat,Chinese,LOW,2024-11-23
10,Pune,Street Food,MEDIUM,2024-01-10
11,Gandhinagar,South Indian,LOW,2025-03-14
12,Gandhinagar,North Indian,LOW,2024-01-06
13,Rajkot,Chinese,MEDIUM,2025-02-01
14,Gandhinagar,Cafe,LOW,2024-06-17
15,Ahmedabad,Biryani,LOW,2024-02-09
16,Rajkot,Biryani,MEDIUM,2025-02-03
17,Surat,Cafe,MEDIUM,2023-10-30
18,Pune,Street Food,LOW,2024-07-14
19,Pune,Cafe,MEDIUM,2026-01-10
20,Pune,Cafe,LOW,2025-12-06
21,Gandhinagar,Pizza,HIGH,2025-02-01
22,Gandhinagar,South Indian,MEDIUM,2023-10-25
23,Pune,Street Food,MEDIUM,2025-02-27
24,Rajkot,Biryani,HIGH,2024-03-09
25,Surat,Street Food,LOW,2025-09-03
26,Ahmedabad,Pizza,MEDIUM,2025-09-11
27,Surat,South Indian,HIGH,2024-05-11
28,Rajkot,South Indian,LOW,2025-03-30
29,Gandhinagar,Pizza,MEDIUM,2023-11-24
30,Pune,Biryani,HIGH,2025-12-20
31,Pune,Street Food,MEDIUM,2025-04-09
32,Ahmedabad,South Indian,MEDIUM,2025-01-16
33,Pune,Street Food,HIGH,2025-10-06
34,Gandhinagar,Street Food,HIGH,2024-08-23
35,Surat,Pizza,MEDIUM,2024-12-14
36,Pune,Biryani,MEDIUM,2025-07-16
37,Rajkot,Cafe,LOW,2025-11-24
38,Pune,Cafe,HIGH,2025-09-22
39,Surat,North Indian,MEDIUM,2024-12-20
40,Surat,Pizza,HIGH,2025-01-31
41,Surat,Cafe,LOW,2025-06-13
42,Rajkot,Street Food,HIGH,2024-03-31
43,Gandhinagar,Cafe,HIGH,2024-01-19
44,Rajkot,Chinese,MEDIUM,2025-03-14
45,Ahmedabad,North Indian,HIGH,2025-09-17
46,Gandhinagar,Biryani,LOW,2024-02-20
47,Rajkot,Cafe,HIGH,2024-09-24
48,Surat,Biryani,LOW,2025-04-26
49,Gandhinagar,Cafe,LOW,2025-09-22
50,Surat,North Indian,HIGH,2024-08-22
51,Ahmedabad,North Indian,LOW,2025-03-31
52,Gandhinagar,South Indian,LOW,2025-02-19
53,Surat,North Indian,LOW,2025-06-24
54,Ahmedabad,Cafe,LOW,2024-02-07
55,Surat,Cafe,LOW,2024-01-09
56,Ahmedabad,Biryani,LOW,2025-10-17
57,Surat,Cafe,HIGH,2025-05-30
58,Pune,Biryani,HIGH,2024-12-19
59,Pune,Street Food,MEDIUM,2024-03-21
60,Gandhinagar,Pizza,HIGH,2025-01-13
61,Rajkot,South Indian,LOW,2024-11-20
62,Gandhinagar,North Indian,HIGH,2025-12-22
63,Pune,Biryani,LOW,2024-08-07
64,Rajkot,Street Food,HIGH,2026-02-18
65,Pune,North Indian,LOW,2025-12-27
66,Rajkot,Biryani,LOW,2025-03-24
67,Ahmedabad,South Indian,HIGH,2025-05-16
68,Surat,Biryani,MEDIUM,2025-10-13
69,Ahmedabad,Cafe,MEDIUM,2025-06-22
70,Rajkot,North Indian,HIGH,2025-08-15
71,Gandhinagar,Pizza,MEDIUM,2024-12-11
72,Rajkot,Street Food,HIGH,2024-11-04
73,Rajkot,North Indian,MEDIUM,2024-05-05
74,Gandhinagar,Cafe,LOW,2024-02-11
75,Pune,South Indian,HIGH,2025-06-16
76,Pune,Pizza,LOW,2024-11-23
