rider_id,city,shift_type,joining_date
1,Gandhinagar,DAY,2025-05-05
2,Pune,FLEX,2025-03-15
3,Rajkot,NIGHT,2025-07-04
4,Ahmedabad,FLEX,2024-08-20
5,Pune,DAY,2024-02-08
6,Pune,NIGHT,2025-10-01
7,Pune,FLEX,2026-02-19
8,Ahmedabad,FLEX,2025-04-10
9,Pune,NIGHT,2024-02-23
10,Rajkot,NIGHT,2025-10-04
11,Ahmedabad,DAY,2026-02-05
12,Ahmedabad,NIGHT,2025-08-24
13,Pune,DAY,2025-05-08
14,Pune,NIGHT,2026-02-20
15,Gandhinagar,DAY,2025-04-14
16,Gandhinagar,FLEX,2025-06-04
17,Ahmedabad,FLEX,2024-10-11
18,Gandhinagar,DAY,2024-09-13
19,Gandhinagar,DAY,2025-11-18
20,Gandhinagar,DAY,2024-07-30
21,Surat,NIGHT,2025-11-25
22,Gandhinagar,NIGHT,2025-03-28
23,Surat,DAY,2024-07-04
24,Surat,DAY,2025-02-15
25,Rajkot,FLEX,2025-06-29
26,Rajkot,FLEX,2024-12-25
27,Pune,NIGHT,2024-09-11
28,Rajkot,FLEX,2024-12-30
29,Surat,NIGHT,2025-04-12
30,Rajkot,FLEX,2024-05-06
31,Surat,NIGHT,2025-05-13
32,Ahmedabad,NIGHT,2024-05-03
33,Gandhinagar,FLEX,2025-01-28
34,Pune,NIGHT,2025-11-06
35,Ahmedabad,FLEX,2024-05-05
36,Pune,FLEX,2024-02-09
37,Gandhinagar,NIGHT,2024-08-11
38,Rajkot,NIGHT,2024-09-01
39,Pune,NIGHT,2025-05-27
40,Surat,FLEX,2024-07-31
41,Ahmedabad,NIGHT,2025-04-21
42,Pune,FLEX,2024-12-19
43,Pune,FLEX,2024-11-17
44,Gandhinagar,FLEX,2025-12-20
45,Surat,NIGHT,2024-05-06
46,Pune,FLEX,2025-12-11
47,Pune,DAY,2025-05-03
48,Rajkot,DAY,2025-10-17
49,Ahmedabad,FLEX,2025-07-09
50,Rajkot,NIGHT,2024-01-20
51,Surat,DAY,2025-01-16
52,Ahmedabad,NIGHT,2024-03-11
