ticket_id,order_id,ticket_type,created_ts,resolution_status
1,2,MISSING_ITEM,2026-01-23 11:14:00,RESOLVED
2,8,MISSING_ITEM,2026-01-23 10:03:00,RESOLVED
3,10,PAYMENT_ISSUE,2026-01-23 23:57:00,RESOLVED
4,25,DELAY,2026-01-23 19:29:00,OPEN
5,26,WRONG_ORDER,2026-01-23 15:46:00,RESOLVED
6,28,WRONG_ORDER,2026-01-23 18:40:00,RESOLVED
7,39,MISSING_ITEM,2026-01-23 18:35:00,RESOLVED
8,49,PAYMENT_ISSUE,2026-01-23 14:47:00,OPEN
9,50,WRONG_ORDER,2026-01-23 20:21:00,RESOLVED
10,65,DELAY,2026-01-23 22:22:00,RESOLVED
11,69,PAYMENT_ISSUE,2026-01-23 15:36:00,OPEN
12,72,WRONG_ORDER,2026-01-23 13:09:00,OPEN
13,91,PAYMENT_ISSUE,2026-01-23 11:04:00,RESOLVED
14,99,DELAY,2026-01-23 10:51:00,RESOLVED
15,121,DELAY,2026-01-23 16:53:00,RESOLVED
16,122,WRONG_ORDER,2026-01-23 13:05:00,RESOLVED
17,133,PAYMENT_ISSUE,2026-01-23 12:09:00,OPEN
18,139,WRONG_ORDER,2026-01-24 00:09:00,RESOLVED
19,150,DELAY,2026-01-23 21:15:00,RESOLVED
20,157,DELAY,2026-01-23 23:08:00,OPEN
21,172,PAYMENT_ISSUE,2026-01-23 19:18:00,RESOLVED
22,173,DELAY,2026-01-23 14:51:00,RESOLVED
23,174,MISSING_ITEM,2026-01-23 17:56:00,OPEN
24,192,DELAY,2026-01-23 15:28:00,RESOLVED
25,197,WRONG_ORDER,2026-01-23 12:36:00,OPEN
26,204,WRONG_ORDER,2026-01-24 11:46:00,RESOLVED
27,219,WRONG_ORDER,2026-01-24 13:57:00,RESOLVED
28,220,WRONG_ORDER,2026-01-24 18:40:00,RESOLVED
29,224,MISSING_ITEM,2026-01-24 12:19:00,RESOLVED
30,247,PAYMENT_ISSUE,2026-01-24 23:15:00,RESOLVED
31,259,PAYMENT_ISSUE,2026-01-24 17:48:00,OPEN
32,261,WRONG_ORDER,2026-01-24 22:40:00,OPEN
33,265,MISSING_ITEM,2026-01-24 22:42:00,OPEN
